City,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Ash,46859.0,1715.0,27586.0,1126.0
Ash Grove,40912.0,1337.5,21802.5,644.5
Ashburn,34729.5,3496.0,19152.5,2207.0
Ashburnham,65313.0,682.0,32284.0,309.0
Ashford,39958.0,2871.0,21387.0,1337.0
Ashland,52549.5,2750.5,28266.0,1256.5
Ashley,53750.0,3496.0,27825.0,1700.0
Aspen,71196.0,11001.0,55519.0,8780.0
Assaria,47801.0,1835.0,25641.0,1030.0
Astoria,57720.0,552.0,26876.0,165.0
Atchison,43581.0,3090.0,21677.0,2230.0
Athens,40089.0,1787.0,21686.666666666668,949.0
Atkins,37732.0,3753.0,21897.0,1290.0
Atlanta,36250.0,1815.0,20771.0,945.0
Atlantic,39412.0,2723.0,23231.0,1427.0
Atlantic City,54461.0,1324.0,28005.0,483.0
Attleboro,56842.0,935.0,29607.0,343.0
Atwood,35508.0,2811.0,19086.0,1123.0
Au Gres,38307.0,1629.0,21197.0,737.0
Auburn,34997.75,4180.25,18495.75,1209.25
Auburntown,41533.0,3772.0,21897.0,2842.0
Audubon,52038.0,1729.0,26399.0,623.0
Augusta,54296.75,2133.75,26315.5,766.5
Aurora,48989.5,2055.5,22176.0,530.0
Austin,59846.0,4360.333333333333,29932.666666666668,1736.6666666666667
Austinburg,40544.0,1438.0,20378.0,491.0
Austinville,35000.0,2955.0,21145.0,1316.0
Autaugaville,51281.0,2391.0,24974.0,1080.0
Avera,26557.0,2063.0,16048.0,1530.0
Avinger,37352.0,2430.0,20991.0,916.0
Avoca,43897.0,5136.0,15006.0,7403.0
Avondale,41286.0,901.0,22191.0,426.0
Axtell,40120.5,1854.5,21325.5,826.0
Axton,35293.0,1337.0,20159.0,1039.0
Azle,56897.0,3006.0,27208.0,1556.0
Bainbridge,45668.0,1824.0,23036.0,569.0
Bajadero,16485.0,796.0,9461.0,377.0
Baker,53266.0,7982.0,32755.0,5324.0
Baker City,41098.0,1708.0,24360.0,1480.0
Bakersfield,40905.0,1233.5,19730.5,515.5
Baldwin,50498.0,2968.0,27255.0,916.0
Baldwyn,42784.0,1667.0,22282.0,727.0
Balko,52090.0,3703.0,26258.0,1999.0
Ball Ground,68926.0,2411.0,30595.0,763.0
Baltic,51996.0,2657.0,18906.0,685.0
Baltimore,42241.0,536.0,25707.0,342.0
Bandana,42244.0,2473.0,24056.0,1442.0
Banks,32825.0,2455.0,19415.0,843.0
Barceloneta,14994.0,2823.0,7263.0,710.0
Barksdale,41813.0,16850.0,27893.0,9683.0
Barnesville,43625.0,2716.5,22965.5,1349.5
Barnhart,55348.0,1230.0,25247.0,429.0
Barnum,42408.0,1846.0,23718.0,841.0
Barranquitas,14714.5,1397.0,7410.0,590.0
Bartlett,73750.0,1026.0,31876.0,403.0
Barton,57514.0,2680.0,29427.0,1189.0
Bartow,37932.0,5113.0,18285.0,943.0
Basehor,63726.0,2055.0,27138.0,738.0
Basile,37649.0,2481.0,20552.0,722.0
Bassett,34612.0,1846.0,19073.0,688.0
Batavia,50880.0,1652.0,25240.0,549.0
Bates,38046.0,4595.0,22538.0,1770.0
Batesburg,38827.0,4459.0,20430.0,1340.0
Batesville,51170.0,1792.0,23534.0,798.0
Bath,41567.0,2527.0,24173.0,1083.0
Bath Springs,37263.0,3476.0,23715.0,2429.0
